casual,registered,workingday
331,654,no
131,670,no
120,1229,yes
108,1454,yes
82,1518,yes
88,1518,yes
148,1362,yes
68,891,no
54,768,no
41,1280,yes
43,1220,yes
25,1137,yes
38,1368,yes
54,1367,yes
222,1026,no
251,953,no
117,883,no
9,674,yes
78,1572,yes
83,1844,yes
75,1468,yes
93,888,no
150,836,no
86,1330,yes
186,1799,yes
34,472,yes
15,416,yes
38,1129,yes
123,975,no
140,956,no
42,1459,yes
47,1313,yes
72,1454,yes
61,1489,yes
88,1620,yes
100,905,no
354,1269,no
120,1592,yes
64,1466,yes
53,1552,yes
47,1491,yes
149,1597,yes
288,1184,no
397,1192,no
208,1705,yes
140,1675,yes
218,1897,yes
259,2216,yes
579,2348,yes
532,1103,no
639,1173,no
195,912,no
74,1376,yes
139,1778,yes
100,1707,yes
120,1341,yes
424,1545,no
694,1708,no
81,1365,yes
137,1714,yes
231,1903,yes
123,1562,yes
214,1730,yes
640,1437,no
114,491,no
244,1628,yes
316,1817,yes
191,1700,yes
46,577,yes
247,1730,yes
724,1408,no
982,1435,no
359,1687,yes
289,1767,yes
321,1871,yes
424,2320,yes
884,2355,yes
1424,1693,no
1047,1424,no
401,1676,yes
460,2243,yes
203,1918,yes
166,1699,yes
300,1910,yes
981,1515,no
472,1221,no
222,1806,yes
317,2108,yes
168,1368,yes
179,1506,yes
307,1920,yes
898,1354,no
1651,1598,no
734,2381,yes
167,1628,yes
413,2395,yes
571,2570,yes
172,1299,yes
879,1576,no
1188,1707,no
855,2493,yes
257,1777,yes
209,1953,yes
529,2738,yes
642,2484,no
121,674,no
1558,2186,no
669,2760,yes
409,2795,yes
613,3331,yes
745,3444,yes
177,1506,yes
1462,2574,no
1710,2481,no
773,3300,yes
678,3722,yes
547,3325,yes
569,3489,yes
878,3717,yes
1965,3347,no
1138,2213,no
847,3554,yes
603,3848,yes
255,2378,yes
614,3819,yes
894,3714,yes
1612,3102,no
1401,2932,no
664,3698,yes
694,4109,yes
550,3632,yes
695,4169,yes
692,3413,yes
902,2507,no
1582,2971,no
773,3185,yes
678,3445,yes
536,3319,yes
735,3840,yes
909,4008,yes
2258,3547,no
1576,3084,no
836,3438,yes
659,3833,yes
740,4238,yes
758,3919,yes
871,3808,yes
2001,2757,no
2355,2433,no
1549,2549,no
673,3309,yes
513,3461,yes
736,4232,yes
898,4414,yes
1869,3473,no
1685,3221,no
673,3875,yes
763,4070,yes
676,3725,yes
563,3352,yes
815,3771,yes
1729,3237,no
1467,2993,no
863,4157,yes
727,4164,yes
769,4411,yes
545,3222,yes
863,3981,yes
1807,3312,no
1639,3105,no
699,3311,yes
774,4061,yes
661,3846,yes
746,4044,yes
969,4022,yes
1782,3420,no
1920,3385,no
854,3854,yes
732,3916,yes
848,4377,yes
1027,4488,yes
1246,4116,yes
2204,2915,no
2282,2367,no
3065,2978,no
1031,3634,yes
784,3845,yes
754,3838,yes
692,3348,yes
1988,3348,no
1743,3138,no
723,3363,yes
662,3596,yes
748,3594,yes
888,4196,yes
1318,4220,yes
2418,3505,no
2006,3296,no
841,3617,yes
752,3789,yes
644,3688,yes
632,3152,yes
562,2825,yes
987,2298,no
1050,2556,no
568,3272,yes
750,3840,yes
755,3901,yes
606,3784,yes
670,3176,yes
1559,2916,no
1524,2778,no
729,3537,yes
801,4044,yes
467,3107,yes
799,3777,yes
1023,3843,yes
1521,2773,no
1298,2487,no
846,3480,yes
907,3695,yes
884,3896,yes
812,3980,yes
1051,3854,yes
1504,2646,no
1338,2482,no
775,3563,yes
721,4004,yes
668,4026,yes
639,3166,yes
797,3356,yes
1914,3277,no
1249,2624,no
833,3925,yes
1281,4614,yes
949,4181,yes
435,3107,yes
768,3893,yes
226,889,no
1415,2919,no
729,3905,yes
775,4429,yes
688,4370,yes
783,4332,yes
875,3852,yes
1935,2549,no
2521,2419,no
1236,2115,no
204,2506,yes
118,1878,yes
153,1689,yes
417,3127,yes
1750,3595,no
1633,3413,no
690,4023,yes
701,4062,yes
647,4138,yes
428,3231,yes
742,4018,yes
1434,3077,no
1353,2921,no
691,3848,yes
438,3203,yes
539,3813,yes
555,4240,yes
258,2137,yes
1776,3647,no
1544,3466,no
684,3946,yes
477,3643,yes
480,3427,yes
653,4186,yes
830,4372,yes
480,1949,no
616,2302,no
330,3240,yes
486,3970,yes
559,4267,yes
639,4126,yes
949,4036,yes
2235,3174,no
2397,3114,no
1514,3603,no
667,3896,yes
217,2199,yes
290,2623,yes
529,3115,yes
1899,3318,no
1748,3293,no
713,3857,yes
637,4111,yes
254,2170,yes
471,3724,yes
676,3628,yes
1499,2809,no
1619,2762,no
699,3488,yes
695,3992,yes
404,3490,yes
240,2419,yes
456,3291,yes
57,570,no
885,2446,no
362,3307,yes
410,3658,yes
370,3816,yes
318,3656,yes
470,3576,yes
1156,2770,no
952,2697,no
373,3662,yes
376,3829,yes
305,3804,yes
190,2743,yes
440,2928,no
1275,2792,no
1004,2713,no
595,3891,yes
449,3746,yes
145,1672,yes
139,2914,yes
245,3147,yes
943,2720,no
787,2733,no
220,2545,yes
69,1538,yes
112,2454,yes
560,935,no
1095,1697,yes
1249,1819,no
810,2261,no
253,3614,yes
96,2818,yes
188,3425,yes
182,3545,yes
268,3672,yes
706,2908,no
634,2851,no
233,3578,yes
126,2468,yes
50,655,yes
150,3172,yes
261,3359,yes
502,2688,no
377,2366,no
143,3167,yes
155,3368,yes
178,3562,yes
181,3528,yes
178,3399,yes
275,2464,no
220,2211,no
260,3143,yes
216,3534,yes
107,2553,yes
227,2841,yes
163,2046,yes
155,856,no
303,451,no
430,887,no
103,1059,yes
255,2047,yes
254,2169,yes
491,2508,yes
665,1820,no
686,1608,no
244,1707,no
89,2147,yes
95,2273,yes
140,3132,yes
307,3791,yes
1070,3451,no
599,2826,no
106,2270,yes
173,3425,yes
92,2085,yes
269,3828,yes
174,3040,yes
333,2160,no
284,2027,no
217,2081,no
127,2808,yes
109,3267,yes
130,3162,yes
115,3048,yes
67,1234,no
196,1781,no
145,2287,yes
439,3900,yes
467,3803,yes
244,3831,yes
269,3187,yes
775,3248,no
558,2685,no
126,3498,yes
324,4185,yes
304,4275,yes
190,3571,yes
310,3841,yes
384,2448,no
318,2629,no
206,3578,yes
199,4176,yes
109,2693,yes
163,3667,yes
227,3604,yes
192,1977,no
73,1456,no
94,3328,yes
135,3787,yes
141,4028,yes
74,2931,yes
349,3805,yes
1435,2883,no
618,2071,no
502,2627,no
163,3614,yes
394,4379,yes
516,4546,yes
246,3241,yes
317,2415,no
515,2874,no
253,4069,yes
229,4134,yes
65,1769,yes
325,4665,yes
246,2948,yes
956,3110,no
710,2713,no
203,3130,yes
221,3735,yes
432,4484,yes
486,4896,yes
447,4122,yes
968,3150,no
1658,3253,no
838,4460,yes
762,5085,yes
997,5315,yes
1005,5187,yes
548,3830,yes
3155,4681,no
2207,3685,no
982,5171,yes
1051,5042,yes
1122,5108,yes
1334,5537,yes
2469,5893,yes
1033,2339,no
1532,3464,no
795,4763,yes
531,4571,yes
674,5024,yes
834,5299,yes
796,4663,yes
2301,3934,no
2347,3694,no
1208,4728,yes
1348,5424,yes
1058,5378,yes
1192,5265,yes
1807,4653,yes
3252,3605,no
2230,2939,no
905,4680,yes
819,5099,yes
482,4380,yes
663,4746,yes
1252,5146,yes
2795,4665,no
2846,4286,no
1198,5172,no
989,5702,yes
347,4020,yes
846,5719,yes
1340,5950,yes
2541,4083,no
120,907,no
195,3019,yes
518,5115,yes
655,5541,yes
475,4551,yes
1014,5219,yes
1120,3100,no
2229,4075,no
665,4907,yes
653,5087,yes
667,5502,yes
764,5657,yes
1069,5227,yes
2496,4387,no
2135,4224,no
1008,5265,yes
738,4990,yes
620,4097,yes
1026,5546,yes
1319,5711,yes
2622,4807,no
2172,3946,no
342,2501,yes
625,4490,yes
991,6433,yes
1242,6142,yes
1521,6118,yes
3410,4884,no
2704,4425,no
630,3729,yes
819,5254,yes
766,4494,yes
1059,5711,yes
1417,5317,yes
2855,3681,no
3283,3308,no
2557,3486,no
880,4863,yes
745,6110,yes
1100,6238,yes
533,3594,yes
2795,5325,no
2494,5147,no
1071,5927,yes
968,6033,yes
1027,6028,yes
1038,6456,yes
1488,6248,yes
2708,4790,no
2224,4374,no
1017,5647,yes
477,4495,yes
1173,6248,yes
1180,6183,yes
1563,6102,yes
2963,4739,no
2634,4344,no
653,4446,yes
968,5857,yes
872,5339,yes
778,5127,yes
964,4859,yes
2657,4801,no
2551,4340,no
1139,5640,yes
1077,6365,yes
1077,6258,yes
921,5958,yes
829,4634,yes
1455,4232,no
1421,4110,no
904,5323,yes
1052,5608,yes
2562,4841,no
1405,4836,yes
1366,4841,yes
1448,3392,no
1203,3469,no
998,5571,yes
954,5336,yes
975,6289,yes
1032,6414,yes
1511,5988,yes
2355,4614,no
1920,4111,no
1088,5742,yes
921,5865,yes
799,4914,yes
888,5703,yes
747,5123,yes
1264,3195,no
2544,4866,no
1135,5831,yes
1140,6452,yes
1383,6790,yes
1036,5825,yes
1259,5645,yes
2234,4451,no
2153,4444,no
1040,6065,yes
968,6248,yes
1074,6506,yes
983,6278,yes
1328,5847,yes
2345,4479,no
1707,3757,no
1233,5780,yes
1278,5995,yes
1263,6271,yes
1196,6090,yes
1065,4721,yes
2247,4052,no
2182,4362,no
1207,5676,yes
1128,5656,yes
1198,6149,yes
1338,6267,yes
1483,5665,yes
2827,5038,no
1208,3341,no
1026,5504,yes
1081,5925,yes
1094,6281,yes
1363,6402,yes
1325,6257,yes
1829,4224,no
1483,3772,no
989,5928,yes
935,6105,yes
1177,6520,yes
1172,6541,yes
1433,5917,yes
2352,3788,no
2613,3197,no
1965,4069,no
867,5997,yes
832,6280,yes
611,5592,yes
1045,6459,yes
1557,4419,no
2570,5657,no
1118,6407,yes
1070,6697,yes
1050,6820,yes
1054,6750,yes
1379,6630,yes
3160,5554,no
2166,5167,no
1022,5847,yes
371,3702,yes
788,6803,yes
939,6781,yes
1250,6917,yes
2512,5883,no
2454,5453,no
1001,6435,yes
845,6693,yes
787,6946,yes
751,6642,yes
1045,6370,yes
2589,5966,no
2015,4874,no
763,6015,yes
315,4324,yes
728,6844,yes
891,6437,yes
1516,6640,yes
3031,4934,no
781,2729,no
874,4604,no
601,5791,yes
780,6911,yes
834,6736,yes
1060,6222,yes
2252,4857,no
2080,4559,no
760,5115,yes
922,6612,yes
979,6482,yes
1008,6501,yes
753,4671,yes
2806,5284,no
2132,4692,no
830,6228,yes
841,6625,yes
795,6898,yes
875,6484,yes
1182,6262,yes
2643,5209,no
998,3461,no
2,20,yes
87,1009,yes
419,5147,yes
466,5520,yes
618,5229,yes
1029,4109,no
1201,3906,no
378,4881,yes
466,5220,yes
326,4709,yes
340,4975,yes
709,5283,yes
2090,4446,no
2290,4562,no
1097,5172,no
327,3767,yes
373,5122,yes
320,5125,yes
484,5214,yes
1313,4316,no
922,3747,no
449,5050,yes
534,5100,yes
615,4531,yes
955,1470,no
1603,2307,yes
532,1745,no
309,2115,no
337,4750,yes
123,3836,yes
198,5062,yes
243,5080,yes
362,5306,yes
951,4240,no
892,3757,no
555,5679,yes
551,6055,yes
331,5398,yes
340,5035,yes
349,4659,yes
1153,4429,no
441,2787,no
329,4841,yes
282,5219,yes
310,5009,yes
425,5107,yes
429,5182,yes
767,4280,no
538,3248,no
212,4373,yes
433,5124,yes
333,4934,yes
314,3814,yes
221,3402,yes
205,1544,no
408,1379,no
174,746,yes
440,573,no
9,432,yes
247,1867,yes
644,2451,yes
159,1182,no
364,1432,no
439,2290,yes
